Mother M1 M2 M3 M4 M5 M6 M7 M8 Child C1 C2 C3 C4 C5 C6 C7 C8
../data/anne+mot 0.000 0.271 0.422 0.457 0.455 0.679 0.579 0.772 ../data/anne 0.000 0.323 0.426 0.667 0.375 0.727 0.800 0.760
../data/aran+mot 0.000 0.280 0.303 0.357 0.532 0.583 0.600 0.790 ../data/aran 0.000 0.159 0.391 0.423 0.560 0.667 0.700 0.890
../data/becky+mot 0.000 0.297 0.443 0.417 0.481 0.458 0.520 0.824 ../data/becky 0.000 0.220 0.444 0.536 0.650 0.667 0.765 0.742
../data/carl+mot 0.000 0.310 0.432 0.481 0.467 0.588 0.643 0.811 ../data/carl 0.000 0.213 0.567 0.556 0.529 0.667 0.900 0.863
../data/domin+mot 0.000 0.215 0.343 0.429 0.619 0.545 0.625 0.719 ../data/domin 0.000 0.231 0.474 0.500 0.167 1.000
../data/gail+mot 0.000 0.214 0.414 0.489 0.558 0.571 0.800 0.776 ../data/gail 0.000 0.182 0.324 0.533 0.500 0.875 0.750 0.719
../data/joel+mot 0.000 0.206 0.281 0.533 0.500 0.611 0.696 0.774 ../data/joel 0.000 0.221 0.333 0.619 0.647 0.333 0.667 0.617
../data/john+mot 0.000 0.270 0.500 0.592 0.781 0.810 0.833 0.858 ../data/john 0.000 0.185 0.317 0.476 0.429 0.765 0.529 0.828
../data/liz+mot 0.000 0.191 0.245 0.479 0.333 0.600 0.571 0.826 ../data/liz 0.000 0.161 0.233 0.562 0.625 0.462 0.600 0.708
../data/nic+mot 0.000 0.183 0.413 0.476 0.533 0.667 0.609 0.751 ../data/nic 0.000 0.234 0.594 0.593 0.308 0.583 0.500 0.769
../data/ruth+mot 0.000 0.208 0.354 0.405 0.393 0.600 0.500 0.824 ../data/ruth 0.000 0.302 0.273 0.222 0.600 0.800 0.333 0.864
../data/warr+mot 0.000 0.223 0.381 0.429 0.444 0.720 0.704 0.882 ../data/warr 0.000 0.141 0.452 0.423 0.769 0.750 0.545 0.880
