Mot Mn Ms Mb Mr Mo Me Chi Cn Cs Cb Cr Co Ce
../data/annemot 706 6481 0.829 9.180 0.397 0.412 ../data/anne 363 1472 0.826 4.055 0.328 0.240
../data/aranmot 1015 8745 0.800 8.616 0.344 0.413 ../data/aran 427 2227 0.785 5.215 0.316 0.321
../data/beckymot 609 3909 0.820 6.419 0.351 0.332 ../data/becky 411 1792 0.840 4.360 0.326 0.239
../data/carlmot 488 4182 0.782 8.570 0.395 0.458 ../data/carl 373 4326 0.758 11.598 0.456 0.592
../data/dominmot 503 4302 0.791 8.553 0.302 0.448 ../data/domin 203 628 0.836 3.094 0.217 0.199
../data/gailmot 838 3996 0.834 4.768 0.297 0.243 ../data/gail 377 1134 0.865 3.008 0.207 0.159
../data/joelmot 772 3893 0.840 5.043 0.272 0.251 ../data/joel 413 1448 0.870 3.506 0.235 0.176
../data/johnmot 733 4154 0.786 5.667 0.364 0.322 ../data/john 358 2069 0.784 5.779 0.327 0.355
../data/lizmot 601 3451 0.832 5.742 0.306 0.294 ../data/liz 336 1607 0.853 4.783 0.289 0.252
../data/nicmot 787 4537 0.819 5.765 0.306 0.298 ../data/nic 306 1009 0.849 3.297 0.261 0.189
../data/ruthmot 661 5094 0.803 7.707 0.352 0.394 ../data/ruth 227 937 0.791 4.128 0.260 0.284
../data/warrmot 811 6414 0.787 7.909 0.345 0.408 ../data/warr 423 2882 0.764 6.813 0.366 0.410
