Child P N S B R Co Eo
../data/anne 1 52 90 0.967 1.731 0.038 0.042
../data/aran 1 64 202 0.837 3.156 0.188 0.237
../data/becky 1 52 108 0.935 2.077 0.115 0.089
../data/carl 1 44 109 0.899 2.477 0.159 0.149
../data/domin 1 45 64 0.906 1.422 0.133 0.081
../data/gail 1 58 93 0.968 1.603 0.052 0.038
../data/joel 1 60 108 0.954 1.800 0.067 0.058
../data/john 1 62 156 0.872 2.516 0.194 0.169
../data/liz 1 46 95 0.958 2.065 0.087 0.063
../data/nic 1 53 92 0.957 1.736 0.075 0.053
../data/ruth 1 47 109 0.807 2.319 0.128 0.209
../data/warr 1 44 148 0.872 3.364 0.182 0.229
