child top freq b1 b2 b3 b4 b5 ball
../data/anne bit 66 1.00 0.92 1.00 1.00 0.77 0.94
../data/aran man 80 0.81 0.94 0.81 0.81 0.56 0.79
../data/becky baby 55 0.91 0.82 0.73 0.55 0.82 0.76
../data/carl car 389 0.87 0.71 0.61 0.81 0.58 0.67
../data/domin train 47 0.89 0.67 0.56 0.78 0.67 0.51
../data/gail bit 58 0.91 1.00 1.00 0.91 0.64 0.90
../data/joel bit 48 0.89 0.89 1.00 1.00 1.00 0.92
../data/john box 93 0.89 1.00 1.00 0.94 0.61 0.88
../data/liz bit 56 1.00 1.00 0.82 0.91 0.82 0.89
../data/nic minute 35 1.00 0.86 1.00 1.00 1.00 0.97
../data/ruth baby 141 0.64 0.68 0.79 0.54 0.75 0.57
../data/warr car 206 0.80 0.80 0.71 0.54 0.54 0.67
