anne P1 13 0.92 3.85 0.88 51.46 | 0.27 0.38
anne ALL 210 0.82 6.10 0.80 22.62 | 0.70 0.69
aran P1 25 0.83 6.52 0.75 56.84 | 0.73 0.85
aran ALL 225 0.81 8.75 0.78 26.45 | 0.84 0.86
becky P1 21 0.92 3.57 0.78 24.43 | 0.28 0.60
becky ALL 213 0.84 7.05 0.80 14.08 | 0.72 0.72
carl P1 19 0.89 3.63 0.68 46.79 | 0.38 0.76
carl ALL 203 0.79 19.56 0.78 17.62 | 0.99 0.95
domin P1 12 0.82 2.58 0.80 95.08 | 0.44 0.47
domin ALL 91 0.84 5.44 0.76 32.11 | 0.57 0.71
gail P1 19 0.95 2.68 0.82 27.95 | 0.15 0.43
gail ALL 174 0.86 4.98 0.78 13.50 | 0.53 0.65
joel P1 23 0.93 2.96 0.81 22.65 | 0.19 0.45
joel ALL 186 0.85 6.10 0.80 13.85 | 0.62 0.66
john P1 25 0.87 4.28 0.71 27.40 | 0.42 0.71
john ALL 187 0.82 9.59 0.75 15.11 | 0.86 0.88
liz P1 20 0.90 3.10 0.73 15.90 | 0.27 0.56
liz ALL 177 0.86 7.59 0.79 12.99 | 0.71 0.75
nic P1 19 0.90 3.00 0.77 28.89 | 0.26 0.52
nic ALL 142 0.83 5.58 0.79 18.37 | 0.68 0.70
ruth P1 10 0.81 6.70 0.79 61.40 | 0.76 0.79
ruth ALL 113 0.84 7.12 0.78 23.86 | 0.71 0.79
warr P1 20 0.85 6.20 0.80 42.35 | 0.61 0.71
warr ALL 220 0.80 11.59 0.79 21.55 | 0.93 0.89
