anneMOT P1 32 0.92 3.28 0.84 47.75 | 0.23 0.40
anneMOT HALF 330 0.83 8.71 0.81 17.40 | 0.82 0.77
aranMOT P1 53 0.86 3.17 0.79 52.42 | 0.36 0.48
aranMOT HALF 405 0.81 9.40 0.80 18.53 | 0.84 0.79
beckyMOT P1 26 0.81 3.04 0.73 25.19 | 0.45 0.57
beckyMOT HALF 249 0.82 6.87 0.80 13.06 | 0.75 0.71
carlMOT P1 39 0.87 4.79 0.76 39.44 | 0.51 0.73
carlMOT HALF 229 0.80 8.48 0.79 16.42 | 0.83 0.78
dominMOT P1 20 0.85 3.65 0.78 70.45 | 0.47 0.62
dominMOT HALF 190 0.82 10.06 0.82 19.75 | 0.86 0.80
gailMOT P1 37 0.86 3.00 0.81 24.86 | 0.35 0.44
gailMOT HALF 281 0.82 5.69 0.80 10.59 | 0.70 0.65
joelMOT P1 14 0.90 3.14 0.78 45.64 | 0.26 0.50
joelMOT HALF 250 0.83 6.21 0.81 11.93 | 0.68 0.63
johnMOT P1 40 0.82 4.35 0.74 30.30 | 0.54 0.66
johnMOT HALF 268 0.78 6.51 0.75 12.55 | 0.82 0.79
lizMOT P1 22 0.81 2.68 0.77 21.68 | 0.46 0.51
lizMOT HALF 224 0.83 6.53 0.81 12.25 | 0.72 0.68
nicMOT P1 27 0.93 3.07 0.78 21.74 | 0.20 0.49
nicMOT HALF 279 0.82 6.68 0.79 12.91 | 0.76 0.72
ruthMOT P1 32 0.93 3.31 0.81 36.41 | 0.20 0.44
ruthMOT HALF 270 0.81 8.26 0.79 16.02 | 0.81 0.78
warrMOT P1 36 0.84 4.64 0.77 40.86 | 0.58 0.71
warrMOT HALF 310 0.81 9.03 0.79 17.84 | 0.85 0.81
